業界,概要文
高齢者向け福祉業界の会社,有料老人ホーム「ぶどうの木」を運営している。また、障碍者向けの自立支援ケアホーム「ぶどうの木牧港」の運営を行う。その他、自立支援サービスの通所介護としておもろまちデイセンター「若枝」やヘルパーステーション「小枝」なども運営する。また、訪問介護や訪問看護サービスも提供している。
高齢者向け福祉業界の会社,デイサービス施設「夢ふうせん さろま」および「夢ふうせん ラポール」、小規模多機能型居宅介護サービス事業所「夢ふうせん せせらぎ」の運営を手がける。ホームヘルプサービスや介護タクシー事業なども請け負う。そのほか、障がい者相談支援なども行う。
塾・受験予備校業界の会社,「英進進学教室」および「英進ハイスクール」の運営を行なっている。受講対象者は小学生から高校生までであり、中学受験、高校受験および大学受験に対応。また、個別指導や夏期および冬期の講習なども行っている。
食品店業界の会社,筋子やハマグリ、アジ、真鯛などその季節に水揚げされる水産物を販売している。小売業者への販売だけでなく、一般消費者へも小分けにして販売を行っている。
警備業界の会社,静岡県内の企業等の常駐警備など警備業務を行う。オフィスビルや、商業施設、ホテルなどの警備のほか、空港保安警備業務検定資格を持つスタッフが、富士山静岡空港の保安検査、消火救難などを行っている。さらに、身辺警備やビル運営管理なども請け負う。
人材紹介業界の会社,一般労働者派遣事業と有料職業紹介事業のふたつの形で人材派遣を手掛ける。また、HRコンサルティング業で課題解決を行ったり、工場の生産ラインを保持し、請負も行う。その他、じゃじゃ麺の店「ちーたん」の運営も手掛ける。
自動車部品・カー用品製造業界の会社,大同特殊鋼グループの指定協力会社として、自動車のターボエンジンの翼車など自動車部品や精密鋳造品の仕上げ・加工などを請け負う。
高齢者向け福祉業界の会社,ケアマネージャーによる居宅介護計画立案から、通所および訪問介護・看護まで、介護サービスを総合的に行っている。また同じ敷地内にて、サービス付き高齢者住宅や有料老人ホームの運営も行なっている。
自動車部品・カー用品製造業界の会社,スタンレー電気グループ会社であり、自動車部品及び付属品を製造する。また、スタンレー電気製品の製造にも取り組む。
人材紹介業界の会社,第二新卒や転職者を中心に企業とのマッチングを請け負う。また、キャリア相談や求人の紹介などといった転職支援のほか、面接および筆記試験対策などを教える社会人スクールも運営する。その他、採用戦略の立案をはじめとした採用コンサルティングも行う。
高齢者向け福祉業界の会社,大阪府にて訪問介護事業所「ピースフリー東淀川」「ピースフリー正覚寺」などを運営している。ピースフリーケアグループの一社である。
金属部品製造業界の会社,山口県熊毛郡を拠点として、建築板金や鋼版などの制作を手掛ける。また、LED照明の設置工事や太陽光パネルの設置工事および屋根工事なども請け負う。
ホテル・旅館業界の会社,リゾート施設「ホテルグランフェニックス奥志賀」の運営を行っている。展望大浴場などの施設を有するほか、信州産食材を使用した料理の提供などを手掛ける。また、和食や中華およびイタリアンのレストランも施設内に有する。
警備業界の会社,主業務であるデパートやビル、病院などの常駐や巡回警備の他にも、交通誘導や身辺警護なども請け負っている警備会社である。また町や市をあげてのイベントや催事の際などは、各地域の警察署や消防署などの公的機関と連携し、地域の安全警備を行っている。
高齢者向け福祉業界の会社,サービス付き高齢者向け住宅「イツモスマイル」や訪問介護施設および「デイサービスセンター恵」などの運営を行う。また、福祉用具のレンタルや販売および「イツモスマイルクリニック」の運営も手がける。その他、居宅介護支援事業所や児童発達支援事業所なども展開。
ホテル・旅館業界の会社,道後温泉において旅館「道後舘」の運営を行う。建物は黒川紀章が設計しており、100％引き湯の大浴場が特徴。また館内にはおみやげ処や喫茶ラウンジの他、宴会場や和風会席膳「レストラン四季」といった施設もある。
自動車部品・カー用品製造業界の会社,自動車のシートやヘッドレスト、アームレストのカバーの製造などを行う。
金属部品製造業界の会社,高密度平角α多層巻コイルやジョイントレスコイルなど、各種高密度コイルや特殊コイルの製造および販売を行う。また、細線を多層巻にしたボビン巻完全整列コイルの量産も可能。その他、空芯コイルを4個一体成形したコイルモールドも手掛ける。
タクシー業界の会社,中型や小型タクシー、および車椅子乗車可能なユニバーサルデザインタクシー等の運行を行う。また、令和3年3月31日までの期間限定でデリバリータクシーを運行し、弁当やカレーなどを提供。さらに、観光旅行向けの貸切バス「東出雲観光バス」も運行する。他に、ツアー企画も手掛ける。
ホテル・旅館業界の会社,主に、レジャーホテル「ファイン」「ファインガーデン」などの運営を手掛けている。その他、温泉旅館および結婚式場などの運営も請け負う。
金属部品製造業界の会社,液晶ディスプレイ用照明装置などの電子部品や自動車部品、ならびに包装機およびコンデンサーなどの製造及び加工、組立を手掛ける。旋盤などの設備を所有しCAD、CAMを用いたオーダー加工を請負っている。そのほかロボット用部品なども取り扱う。
居住用リフォーム業界の会社,オークラヤ住宅グループの関連会社としてマンションリフォーム工事を手掛ける。また、パッケージプランの「SIMPLE STYLE」と素材やデザインにこだわる「ONLY ONE STYLE」の二つのプランを軸としてリノベーションを行う。その他、事務所リフォームにも対応。
高齢者向け福祉業界の会社,重度訪問介護、訪問介護および同行介護サービスを行う介護施設「愛わくわく訪問介護ステーション」を運営している会社。大阪府及び兵庫県域にホームヘルパーが訪問して入浴や食事、外出等の介護を行っている。
警備業界の会社,雑踏警備やボディーガード、常駐警備などを請け負う。また、コンサートや即売会および展示会などのイベントの交通誘導や入場整理などを行う。コンサートでは楽屋周辺の警備や物品販売の監視などに対応する。
美容サロン業界の会社,兵庫県内で美容室「おしゃれキャット」の運営を行う。主に、カットだけでなくヘアカラーやパーマなどの施術を行い、着物の着付けも手掛ける。
高齢者向け福祉業界の会社,住宅型有料老人ホーム「見岳荘」や居宅介護施設「こだま」などの運営を行っている。介護事業の一環として、居宅介護支援や訪問介護および通所介護などを手掛ける。また、企業主導型保育事業として託児所「よってき家」の運営も行う。
マンション・アパート賃貸業界の会社,主にアパートやマンションの賃貸仲介及び管理やコンサルティング業務を行う。扱う物件はシングルタイプ・ファミリータイプといった各種個人向けの物件や都民住宅など多岐に渡る。その他、店舗・事務所用の物件も取扱う。
高齢者向け福祉業界の会社,静岡県田方郡を拠点に、訪問介護事業所「ヘルパーステーションやすらぎ」を運営している。訪問介護員が介護者の自宅を訪問し、掃除や洗濯、買い物などの生活介助を行う。そのほか、福祉用具レンタル、販売も手がける。
ホテル・旅館業界の会社,ゴルフ場やテーマパーク、ホテルなどを運営している安達事業グループの関連企業で「ホテルグリーンプラザ軽井沢」の運営および管理を行っている。また併設するレストランの運営、たばこや郵便切手の販売なども手掛ける。その他、結婚式場の運営も行う。
高齢者向け福祉業界の会社,デイサービス施設「シンシア久居」を運営している会社である。要介護者に対して短期入所生活介護やデイサービスを行っている。
居住用リフォーム業界の会社,工場や学校、介護施設などの公共施設の設計・建築および店舗や住宅の水廻りをはじめとするリフォームを行う。公民が連携して公共サービスの提供を行うパブリック・プライベート・パートナーシップを用いている。またゴルフ場の改修工事などの土木工事も行う。
高齢者向け福祉業界の会社,デイサービスや訪問介護をはじめとした介護事業を展開している。介護保険適用のデイサービス・認知症者のデイサービスや訪問介護を行うほか、在宅介護支援も請け負う。訪問サービスは、各務原市全域及び周辺2キロまで提供する。
自動車部品・カー用品製造業界の会社,ハンドルカバーやカーテン・フロアマット等、トラック用品の製造・販売を行う会社である。主力商品であるハンドルカバーは、職人が一点一点縫製しており、「ノーマル」「キルト仕様」の種類がある。兵庫県内に3店舗、奈良県内に1店舗の直営店「トラックストップ ターン」を構えている。
高齢者向け福祉業界の会社,「デイサービスセンターかがやき赤土」「デイサービスセンターかがやき太田」を運営している。その他、パワーリハビリマシン設置に関する研修の開催やデイサービスの業務支援ソフト「K.D.S」の開発も手掛ける。また事業者向けにパワーリハビリ専用マシンなどの物品販売を行う。
金属部品製造業界の会社,電気炉溶解設備による鋳鉄製品の製造および卸売を行っており、大量生産から多品種小ロット生産まで対応している。製品はシフトフォークやヨークフランジなどの自動車部品、サーモスタットケースやブラケットなどの建設機械部品を手掛ける。
高齢者向け福祉業界の会社,訪問介護やデイサービスの他、居宅介護支援や訪問看護を行う「ケアサポートメイ」の運営を手がけている。また、入浴や体操およびレクリエーションなどを行う通所介護サービスにも取り組む他、ケアプランの作成なども実施。
ゴルフ場業界の会社,27ホールの丘陵林間コースを備えたゴルフ場「八幡カントリークラブ」の運営を行っている。また、クラブハウスやレストランを備えるほか、地元特産品などを販売するショップを併設している。
人材紹介業界の会社,取引企業先または利用者に対し、人材紹介および人材派遣を行う。また取引企業先への業務請負事業を手がける。そのほか、外国人の従業員も受け入れている。
ホテル・旅館業界の会社,素泊まりプランや館内ギフト券付きプランなど各種宿泊プランを取り揃えた「水戸京成ホテル」や「京成ホテルミラマーレ」を運営する。また、ブライダルやパーティ・同窓会などの宴会プランにも対応。さらに、レストランや結婚式場の運営も行う。
タクシー業界の会社,熊本県熊本市にて、レギュラータクシーや介護タクシーおよびジャンボタクシーなどの運行を手掛ける。
美容サロン業界の会社,鹿児島市内にて、「Men's髪飛＆美容室南風アトリエ西陵店」「monde-hair creation-」をはじめとした、理容室や美容室の運営を行う。
食品店業界の会社,「ほとめき市場 一太郎」「魚一太郎」にて、鮮魚や寿司・惣菜などの販売を行っている。また、海鮮ネタや地元嘉穂牛あぶり等を取り揃える「回転寿司 一太郎」の運営を展開。その他、「仕出し一太郎」にて寿司の注文販売を実施する。
中古車販売業界の会社,「カーベルアスカ店」「カーベル松江中央店」等を運営し、国産車と外車の中古車や新車および二輪車の販売、買取を行う。また、自動車の車検と板金塗装および修理や整備メンテナンスを手掛ける。その他、カー用品やパーツおよびタイヤの販売と取付、損害保険の販売も行う。
ホテル・旅館業界の会社,主に「松江 エクセルホテル東急」などの運営を行う。宿泊サービスを提供する他に、宴会やブライダル関連のサービスも提供している。また、ホテル内のレストランにて食事の提供も行う。
金属部品製造業界の会社,鋳鉄やアルミなどを使用した自動車部品や建設機械部品ならびに医療機械部品の鋳造を手掛ける。主に、油圧関連やシリンダー関連の他、ターボ部品や排気系部品の鋳造を請け負う。
水産物食品専門商社業界の会社,桐生地方卸売市場において、鮮魚や干物などの水産物や冷凍魚などの加工品の卸売を手掛ける。また、切り身や三枚おろしなどの加工やパック加工、レンジアップ商品のキット加工などを手掛ける。主に、鮮魚や冷凍サーモン、カンパチの加工を行う。
高齢者向け福祉業界の会社,介護専用型有料老人ホーム「ナーシングホーム静養館」を運営している。個室は11畳あり、介護ベッドや全自動トイレ、テレビなどの各種設備を備え付けていることが特徴。また、機能訓練室や野外リハビリコースなども有している。
マンション・アパート賃貸業界の会社,ハウスパートナーグループのグループ会社であり、マンションや戸建住宅などの賃貸仲介を行う。また、店舗や事務所などの事業用賃貸物件も取り扱う。その他、新築や中古のマンションや戸建住宅および土地ならびに投資用物件の売買仲介なども手掛ける。
食品店業界の会社,愛媛県八幡浜市にて、鶏肉や豚肉の生産や販売を行う。また、牛肉や鶏卵および米などの卸売や小売を行う。
医療機器・実験機器メーカー業界の会社,医療消耗品や医療必需品およびペット用品などの販売を行っている。また、業務効率化や経費削減などの経営支援コンサルティングにも携わる。その他、介護用品などの宅配サービスなどにも対応。
人材紹介業界の会社,沖縄県浦添市に拠点を置いて、飲食業の人材やバイリンガルスタッフの紹介を手掛ける。また、ホテルなどの宿泊施設や飲食業を中心に人材の紹介や派遣を行い、米軍基地への派遣も行う。その他、社員食堂などの運営受託事業を手掛ける。
ゴルフ場業界の会社,ゴルフ場の運営事業を手掛けており「宮崎レイクサイドゴルフ倶楽部」の運営を行う。ゴルフ場は、1コース18ホールのコースを有している。また、ゴルフ施設内にて食事の提供も行う。
ホテル・旅館業界の会社,富山県高岡市の、「ホテルニューオータニ高岡：およびホテル内施設の運営を行う。ホテル内に各種レストランや宴会場、結婚式場などの設備を所有。レストランウェディングやバンケットウェディングなどのプランを提供する。
金属部品製造業界の会社,福島県白河市において、工作機械や産業用機器または医療機器などに使用される精密機器部品の製造や組立を行う。また、電気信号調整および基板の半田付けなどを手掛ける。
金属部品製造業界の会社,鉄鋼素材から機械加工や組み立てまでの一貫製作を行う。電気炉や高周波炉などの高温高圧用特殊鋳鋼品や耐摩耗鋼の製造や加工組立も請け負う。
高齢者向け福祉業界の会社,埼玉県の介護支援施設「ケアサポートあすなろ三鷹」「ケアサポートあすなろ狭山」を運営している。身体介護や生活介護などを行う訪問介護サービスを展開。また、障がい者向けに家事援助や通院介護なども行う。
金属部品製造業界の会社,船舶用の大型エンジンの潤滑油供給に利用される注油器や、精密金型、超精密加工部品を製造・販売している。難削材の加工も行っていて、素材から切削加工、超精密鏡面加工・組立・調整・検査までを24時間一定温度管理された工場で実施している。そのほか、3D造形の業務も行っている。
ゴルフ場業界の会社,ゴルフ場「姉ヶ崎カントリー倶楽部」「立野クラシックゴルフ倶楽部」を運営する。「姉ヶ崎カントリー倶楽部」はダンロップオープンなどのトーナメントの舞台となる。
自動車部品・カー用品製造業界の会社,愛知県豊川市を拠点として自動車部品の製造をしている。スイッチ類やキー部品の加工および組付作業を行っている。
高齢者向け福祉業界の会社,主に、患者を診察する医師と連絡、指示および報告の連携を取りながら訪問看護や訪問リハビリを行う。サービス内容には、日常生活の看護や介護者の支援、リハビリ及び医療的処置などがある。そのほか、認知症の看護や精神のサポート、公的サービスについての相談に応じている。
塾・受験予備校業界の会社,愛知県と岐阜県、三重県で、家庭教師の派遣を行う。小学生と中学生、高校生の通常コースと受験コース、並びに、発達障害コースも用意している。また、家庭教師の育成も行う。その他、学校評価事業や教育関係イベントの企画運営も手掛ける。
高齢者向け福祉業界の会社,訪問や通いおよび宿泊などのサービスを組合せ、入浴や排泄および食事などの介護ならびに日常生活上の世話やレクリエーションなどを行う。また、日常生活上必要な援助や機能訓練などを行う｢ショートステイ仙北｣や｢ショートステイ神岡｣の運営も手掛ける。
マンション・アパート賃貸業界の会社,一人暮らしやファミリーなどあらゆる顧客向けに賃貸物件を仲介している会社。港区、目黒区など東京の南部エリアの物件を取り扱っている。また、全国にグループ会社が展開しているため、法人向けに移動・転勤に伴う社宅の仲介も可能となっている。
Webサービス・アプリ運営業界の会社,生活習慣病患者に適した遠隔診療サービス「MEDICALLY」の運営に取り組む。スマホアプリを使用し遠隔診療や血圧の管理、栄養士による食事指導など生活習慣病への改善を行う。その他、保健事業の分析やプロジェクト管理などをクラウド上で一貫して行える保健事業DXツール「Medicallyクラウド」の提供を行う。
自動車部品・カー用品製造業界の会社,EV・PHV関連機器や車載式故障診断装置などの自動車部品の開発設計および製造を手掛ける。また、各種ハーネスや車両整備用特殊工具、リフトスイッチなどの開発も手掛ける他、各種車両検査用品も取り扱う。その他、中国広東省とタイに拠点を保有している。
タクシー業界の会社,一般タクシー業や観光タクシー業を行う。また、妊婦向けのタクシー「ママサポートタクシー」を運行する。
自動車部品・カー用品製造業界の会社,自動車部品を中心に新幹線のシートなどの「転造ねじ」の製造、卸売を行う。主に、特殊転造や塑性加工および精密切削加工を行い、棒材に圧力をかけて直接ねじ山を造形する独自の工法で製造を手掛ける。
タクシー業界の会社,タクシー業務を行っている会社。通常のタクシー業務の他、成田空港や羽田空港まで定額運賃で運行するサービスがある。スマートフォンアプリで配車ができるサービスも提供している。
自動車部品・カー用品製造業界の会社,主に建設機械や自動車の部品などを鍛造技術により製造し、卸売している。ギアやベアリング、バルブなどを取り扱い、これらの熱処理や表面加工、切削加工を行う。また、CADにより設計・制作した金型を用いているのが特徴。
警備業界の会社,長崎県にて施設警備や交通誘導警備、イベント警備を行う。また、施設警備や貴重品警備も手掛ける。
自動車部品・カー用品製造業界の会社,自動車用部品の設計や製造および販売を行う。ステアリングモジュールやシフトレバーモジュールなどのメカトロニクスモジュールを製造する。さらに、レインセンサーなどの電装部品や、スイッチパネルなどの電子部品を取り扱う。
金属部品製造業界の会社,金型設計や製作から鍛造までを行う精密型打鍛造をメインとし、自動車部品や農業機械、レール締結部品などを製造および販売する。鍛造には、エアースタンプハンマーやフォージエースハンマーを使用する。主な製品として、ギヤカムシャフトタイミングやエンジンキャップおよびステアリング操作伝達部品などがある。
高齢者向け福祉業界の会社,認知症をもつ高齢者を対象とした共同生活介護施設「ひまわり」を運営する。また、建築や建設も手掛けており、土木工事や舗装工事をはじめ、とび工事や土工工事ならびにコンクリート工事や石工事に対応する。さらに、管工事や造園工事も行っている。
保険代理店業界の会社,個人向けに生命保険と損害保険の紹介および代理店業務を行う。生命保険会社23社と損害保険会社12社の取り扱いがある。また、保険や貯金等に関するセミナーやイベントも開催する。
警備業界の会社,イベント警備や「コマツ茨城工場」など施設の常駐警備など各種警備を手掛ける。また、個人及びオフィス向けに防犯カメラや警備用機器による管制センターに対応した機械警備サービスを行う。その他、ビルの清掃や管理業務などを請け負う。さらに、イベント企画や防犯コンサルタント、警備計画立案なども手掛けている。
医療機器・実験機器メーカー業界の会社,アレルギーや自己免疫疾患検査ソリューションの輸入を行う。他にも医療機関向けに販売を行っているのが特徴である。サーモフィッシャーサイエンティフィックのグループ会社である。
中古車販売業界の会社,2018年現在、埼玉県下5店舗にて、新車および中古車の販売と買取りを行う。また、自動車整備に取り組み、車検では100項目以上の点検内容を実施している。さらに、自動車部品や中古パーツを取り扱う他、各種保険にも対応。
タクシー業界の会社,鎌倉市を中心とした地域でタクシー事業を行う。ユニバーサルデザイン車両も導入し、車椅子やスーツケース等の大型荷物にも対応。
高齢者向け福祉業界の会社,高齢者や障害者の自宅に直接訪問して介護を行う。具体的には、食事や排泄、および入浴などの生活援助を手がける。さらには、就寝時の見守りや体位交換の介護にも携わる。また、洗濯や掃除の代行援助も行う。
ゴルフ場業界の会社,東京都多摩市にてゴルフクラブを運営する。関東ゴルフ連盟主催競技の試合会場としてコースの提供を行う他、休場日には自治体や町内会、企業等が主催するコンペにもコースを開放している。
Webサービス・アプリ運営業界の会社,クラウド型の農業支援システム「アグリノート」の開発および運営を手掛ける。航空マップによる農園管理や農記録の管理、スマートフォンとの連携などの機能を有する。また、オンラインデモや研修会などを通してシステムの導入サポートも行う。
美容サロン業界の会社,関東圏を中心に「タイム東長崎駅前店」などの美容サロンを運営する会社。社員の海外研修や社員旅行なども定期的に行う。また、「OIL Treatment Mist」といったヘアトリートメント商品などの開発や販売も行っている。
医療機器・実験機器メーカー業界の会社,アボット・ラボラトリーズ社の日本法人であり、医薬品、医療機器などの開発や製造、販売を行う。また、栄養剤製品や診断機器なども取り扱う。その他に、医療関係者向けのセミナーなどの開催にも取り組む。
ホテル・旅館業界の会社,温泉旅館「和多屋別荘」の運営を手掛ける。標準客室に加えて露天展望付客室やロイヤルスイートルームを備えていることが特徴。また、館内において「和食処 利休」や「レストラン佐賀牛賓館」の運営も手掛ける。そのほか、楽天市場において「温泉湯どうふ」や「特選佐賀牛カレー」などの販売も行う。
自動車部品・カー用品製造業界の会社,群馬県太田市にて、自動車部品の製造を手掛ける。主に、自動車のシートフレームの部品の製造を行う。
美容サロン業界の会社,リラクゼーションサロン「ルアンルアン」を運営する会社。施術用のハーブやオイルにはフィトサンアローム社の製品等を使用し、マッサージは英国式と東洋式を組み合わせた独自の「アジアン手技」により行う。また、フランチャイズ店舗事業も展開している。
ホテル・旅館業界の会社,都市型リゾートホテル「フォレスト･イン 昭和館」と「ホテル S&S モリタウン」を運営する。また、「昭和の森ゴルフコース」やゴルフ練習場に加えて、ゴルフスクールの運営も行う。さらに「昭和の森テニスセンター」及びテニススクールのほか、フィットネスクラブ「フォーラス」の運営も担う。
タクシー業界の会社,主に、会社役員の送迎を行う運転手の派遣を手掛ける。また、社員の通勤や研修の送迎バスおよびスクールバスの運行に対応。その他、配送や倉庫内作業ならびにフォークリフト作業などの物流業務も行う。
ホテル・旅館業界の会社,"中部地方を中心として、ビジネスホテル「ABホテル」の運営を手掛け、宿泊サービスの提供を行う。また宿泊施設の特徴としては、客室内のユニットバスのほか大浴場を完備し、コインランドリーがあるほかパブリックPCが設置されている。2019年現在、既存14店舗の年平均稼働率は86.6％となり、売上高5,514百万円・前期比24.8％増、営業利益1,409百万円・同18.2％増、経常利益1,398百万円・同22.0％増、当期純利益は887百万円・同22.7％増となっている。また、2019年4月以降の出店予定として「ABホテル」11店舗の新規開発を決定。"
医療機器・実験機器メーカー業界の会社,資材の調達から板金加工や塗装、組み立てまでを一貫して担い、精密機械の生産を手掛ける。医療機器を中心にOA機器や両替機、機構部品および、電源BOXなどを取り扱う。半導体製造装置関連や液晶関連も対応可能。その他、液晶パネルや血液分析機の組み立ても行う。
居酒屋・バー業界の会社,「さくら水産」を始めとした居酒屋チェーンを経営する会社。漁業関係者と連携をし、魚を中心とした料理を提供している。また、衛生管理に力を入れており、担当スーパーバイザーと本部社員による店舗のダブルチェックを定期的に行っている。
高齢者向け福祉業界の会社,認知症専門の介護施設「ハーモニーデイサービス」の運営を行い、デイサービスの提供を手掛ける。また、介護事業に関する再生コンサルティングにも対応。その他、認知症患者向けのコミュニケーションロボット「コモモン」の研究開発にも取り組む。
自動車部品・カー用品製造業界の会社,自動車の外観部などの樹脂の押出成形品の製造を行う。主に、車のドアのクッション部やボディフランジなどを取り扱っており、外観の装飾や安全性向上の役割を担う。その他、芯金入り樹脂押出成形品や二層樹脂押出成形品、異形樹脂押出成形品などに対応。
タクシー業界の会社,個人向けタクシーや配車サービスなどの法人向けサービスを行うタクシー会社を運営する。また、プリウスなどの普通車を専門のドライバーが運転し、観光案内を行うサービス「よか旅NAVI」も手掛ける。
ゴルフ場業界の会社,京都府亀岡市にて、会員制のゴルフ場「関西カントリークラブ」の運営を主に行う。ホテルやゴルフ場運営などを行うリソルホールディングス株式会社の連結子会社である。
自動車部品・カー用品製造業界の会社,自動車の内装に使用される樹脂部品等の製造を手掛けている。また、エアーダクトやポーラスダクト等も扱う。
居酒屋・バー業界の会社,飲食店の運営などを行う株式会社ヴィア・ホールディングスの関連会社であり、「備長扇屋」「やきとりの扇屋」「本陣串や」などの居酒屋の運営を手掛ける。
美容サロン業界の会社,愛知県のヘアサロン「AFFECTION」「VAN COUNCIL」の運営を行っており、カットやカラー、パーマなどを行う。また、成人式などにおける着付け・ヘアメイクをはじめ、ヘッドスパやネイルなどのサービスも提供している。
タクシー業界の会社,「日本交通株式会社」が西日本進出を機に設立し、一般のタクシー業務のほか、顧客のニーズに合わせた観光タクシーや空港送迎用タクシーも取り扱う。また、高級車両やワンランク上のサービス教育を受けた従業員によるハイグレードサービスや、大口予約配車などにも対応している。
居酒屋・バー業界の会社,もつ鍋店を運営し、また、もつ鍋のお取り寄せ通販事業を展開している。また、もつ鍋の締めの1つであるちゃんぽんを発祥した店である点が特徴。通販事業では、冷凍および冷蔵のもつ鍋セットを販売している。
金属部品製造業界の会社,主に精密板金の製造を行っており、アルミや真鍮といった素材を使用しているほか、板金の厚さは薄いものから厚いものまで取り扱う。また、精密板金はレーザー溶接等を用いて半導体・液晶製造装置や医療機器、原子力関連部品、金融機器への加工も行っている。
タクシー業界の会社,東京無線グループの企業の一つで、三鷹市でタクシー会社の運営を行っている。個人タクシーへの独立を支援することが特徴。その他、外注車検や鈑金修理を手掛ける。
タクシー業界の会社,福岡県福岡市において、タクシーの運行を手掛ける。
タクシー業界の会社,埼玉県川越市を拠点とし、タクシーの運行を手掛ける。
ホテル・旅館業界の会社,長野県の諏訪湖に隣接する観光ホテル「ホテル紅や」を運営しており、宿泊施設及び温泉施設がある。また、地元の食材を利用した和会席料理や信州フレンチなどを提供する。また、「諏訪湖サービスエリア」「東部湯の丸サービスエリア」の営業受託も行う。
自動車部品・カー用品製造業界の会社,自動車のボンネットや、ドア及びトランクなどのロック機構のほか、シート機構などの自動車部品の製造を行う。また、ワイヤーケーブル部品も取り扱う。その他、医療分野および住宅関連分野など各種分野における試作品の設計制作も請け負う。この加工技術を活用した自動車生産設備の搬送台車の製造を行い、海外への輸出も展開する。
居住用リフォーム業界の会社,フェンスや門扉をはじめ、駐車場や植栽やデッキなどのエクステリア工事の設計と施工を手掛けている。また、公共事業を中心とする土木工事や建築工事、舗装工事および造園工事を行う。さらに、とび・土工工事や衛生設備工事を手掛ける。その他、解体工事や産業廃棄物の収集と運搬および労働者派遣業に対応。
ホテル・旅館業界の会社,東京や大阪などで展開するホステル「&AND HOSTEL」など、宿泊施設の企画開発および運営を手掛ける。また、簡易宿所の企画や運営、宿泊施設の立ち上げにおけるコンサルティングなども請け負う。その他、簡易宿所のサブリースや運営委託にも携わる。
タクシー業界の会社,観光タクシーや介護タクシーなどのタクシーの運行を手掛ける。また、介護事業所「ケアステーション清和」「デイサポート太陽」ならびに サービス付き高齢者向け住宅「暖ノ奏」などの運営も行う。さらに、買物代行や配達代行などの代行サービスにも対応する。
タクシー業界の会社,主に東京都内を中心にタクシーサービスを提供している会社。観光タクシーをはじめ、車いすの取り扱いや乗降介助、人工呼吸を含めた救急救命などに対応が可能な高齢者の乗客向けタクシーを運行している。
高齢者向け福祉業界の会社,訪問介護や在宅リハビリテーションなどに取り組む訪問看護ステーションの運営を手掛ける。また、「目的型デイサービス」が特徴のデイサービス施設の運営も行う。その他、企業主導型保育事業施設「しおり保育園」やこども食堂「きみてらす」の運営にも携わる。
ゴルフ場業界の会社,ゴルフ場「飯能ゴルフクラブ」の運営を行う。松林に囲まれた、戦略性の高さを売りにした林間コースが特徴。また、ドライビング練習場やレストラン、売店も併設しており、ゴルフ用品やたばこ、清涼飲料水や土産品等を販売する。
タクシー業界の会社,主に東京を中心にタクシー事業を展開。電話での配車依頼の他、Webでの依頼や顧客情報の登録システムがあり住所を伝えなくても配車することが可能となっている。また、簡単に配車依頼ができる「すまほde東都タクシー」も配信する。
金属部品製造業界の会社,丸編み織機や横編み織機などの繊維機械部品をはじめ、射出成型機や船舶機械などの各種鋳物部品の製造を行う。また、製造部品の焼鈍および旋盤や大型マシニングセンターによる機械加工まで、顧客のニーズに合わせた一貫生産にも対応している。
自動車部品・カー用品製造業界の会社,山梨県南巨摩郡を中心に、スバル自動車向けの自動車座席シートの縫製業を行う。自動車座席シートの縫製対象の車種としては、「レガシィ」、「インプレッサ」の他、「フォレスタ」等がある。
自動車部品・カー用品製造業界の会社,自動車用ブレーキ部品の企画や開発、製造および販売を手掛ける。主に、一般自動車からレーシングカーまでのブレーキパッドやブレーキディスクなどを取り扱う。また、モータースポーツ用の製品の開発や販売も行っている。
医療機器・実験機器メーカー業界の会社,病院や開業医院および老人保健施設向けに、在宅酸素療法向けの酸素供給装置などのレンタルや設置、機器の保守や点検業務を行う。酸素濃縮器や人工呼吸器、睡眠時無呼吸症候群用治療機器、および心不全用治療機器を取り扱う。医療機器専門メーカー「フクダ電子」のグループ会社。
高齢者向け福祉業界の会社,埼玉県内でデイサービスセンター「ごらく 草加の里」など複数の介護施設の運営を行う。散歩などの個別レクリエーションや嚥下体操をはじめとする機能訓練を実施する。
タクシー業界の会社,大和自動車交通と業務提携し、東京足立区を拠点としてタクシーの運行・配車管理を行う会社。法人チケットや専用乗車・無線配車などによって営業範囲を拡大。また日曜定休日であり、昼日勤給与保証制度を採用している。
美容サロン業界の会社,子供の利用も可能なファミリーヘアサロン「レッツ」の運営を行う。また、ヘアカットやカラー及びパーマならびにネイルやボディスパなどを行う「ル・クゥル」の運営も手掛ける。
保険代理店業界の会社,全国に店舗を展開するリアルショップ事業として「保険見直し本舗」を運営し、生命保険などの代理販売を手掛ける。また住信SBI ネット銀行の銀行代理業者として「住宅ローンプラザ」を運営し、住宅ローン商品の販売を行う。さらに、会員向けに保険管理サービスアプリ「GOESWELL」を提供。
高齢者向け福祉業界の会社,マシントレーニングやマッサージを取り入れた機能訓練を行う通所介護施設「ひまわり」の運営を行う。また居宅介護支援や訪問介護事業も展開。その他、介護保険の認定を受けていなくても利用のできる施設「トータルケアkomorebi」も運営している。
タクシー業界の会社,ビジネスや観光、冠婚葬祭に適したハイグレード車種を100台余り揃え、東京タクシーセンターのタクシーランクで優良事業者に認定されている。また、都内各地から羽田空港・成田空港・東京ディズニーリゾート間に、通常料金より割安な定額料金を設定している。
